Date,Hour,Time(MS),Time From Epoch(S),Sound Velocity(cm/s),Distance(CM),Deltatime(S),Temperature(C),Temperature(F),Humidity(%)
Tue Jan 12 12:42:59 2021,12,33157190,1610484179.317606,34127.119999999995,1201.014248228073,0.07038474082946777,15,59.0,63
Tue Jan 12 12:42:59 2021,12,33162928,1610484179.8913448,34127.119999999995,1200.9125414848327,0.07037878036499023,15,59.0,63
Tue Jan 12 12:43:00 2021,12,33168664,1610484180.4649432,34127.119999999995,1200.94101937294,0.07038044929504395,15,59.0,63
Tue Jan 12 12:43:01 2021,12,33174023,1610484181.000866,34127.119999999995,556.0917893409728,0.03258943557739258,15,59.0,63
Tue Jan 12 12:43:01 2021,12,33182328,1610484181.8313613,34127.119999999995,1200.9450876426695,0.07038068771362305,15,59.0,63
Tue Jan 12 12:43:02 2021,12,33188065,1610484182.4050388,34127.119999999995,1200.9125414848327,0.07037878036499023,15,59.0,63
Tue Jan 12 12:43:02 2021,12,33193802,1610484182.9787984,34127.119999999995,1200.9694972610473,0.07038211822509766,15,59.0,63
Tue Jan 12 12:43:03 2021,12,33199540,1610484183.5525558,34127.119999999995,1201.1240915107726,0.07039117813110352,15,59.0,63
Tue Jan 12 12:43:04 2021,12,33207889,1610484184.3874574,34127.119999999995,1200.9694972610473,0.07038211822509766,15,59.0,63
Tue Jan 12 12:43:04 2021,12,33213626,1610484184.961157,34127.119999999995,1200.9166097545622,0.07037901878356934,15,59.0,63
Tue Jan 12 12:43:05 2021,12,33219363,1610484185.5348785,34127.119999999995,1200.8922001361846,0.07037758827209473,15,59.0,63
Tue Jan 12 12:43:06 2021,12,33225101,1610484186.1087055,34127.119999999995,1200.8149030113218,0.0703730583190918,15,59.0,63
Tue Jan 12 12:43:06 2021,12,33233406,1610484186.9391613,34127.119999999995,1200.855585708618,0.07037544250488281,15,59.0,63
Tue Jan 12 12:43:07 2021,12,33239143,1610484187.5128574,34127.119999999995,1201.0712040042877,0.0703880786895752,15,59.0,63
Tue Jan 12 12:43:08 2021,12,33244880,1610484188.0866067,34127.119999999995,1200.8718587875364,0.07037639617919922,15,59.0,63
Tue Jan 12 12:43:08 2021,12,33250618,1610484188.6604044,34127.119999999995,1200.9898386096952,0.07038331031799316,15,59.0,63
Tue Jan 12 12:43:09 2021,12,33258967,1610484189.4953034,34125.88,1200.8770428848266,0.07037925720214844,15,59.0,62
Tue Jan 12 12:43:10 2021,12,33264704,1610484190.0690033,34125.88,1200.8811110067368,0.07037949562072754,15,59.0,62
Tue Jan 12 12:43:10 2021,12,33270441,1610484190.642713,34125.88,1200.9624734449385,0.07038426399230957,15,59.0,62
Tue Jan 12 12:43:11 2021,12,33276180,1610484191.21654,34125.88,1200.848566031456,0.07037758827209473,15,59.0,62
Tue Jan 12 12:43:12 2021,12,33284484,1610484192.0469487,34125.88,1200.9136559820174,0.07038140296936035,15,59.0,62
Tue Jan 12 12:43:12 2021,12,33290220,1610484192.6206276,34125.88,1201.0112909078598,0.07038712501525879,15,59.0,62
Tue Jan 12 12:43:13 2021,12,33295958,1610484193.1943364,34125.88,1200.8322935438155,0.07037663459777832,15,59.0,62
Tue Jan 12 12:43:13 2021,12,33301695,1610484193.7680688,34125.88,1201.072312736511,0.07039070129394531,15,59.0,62
Tue Jan 12 12:43:14 2021,12,33310044,1610484194.6029537,34125.88,1201.0356996393202,0.0703885555267334,15,59.0,62
Tue Jan 12 12:43:15 2021,12,33315781,1610484195.1766348,34125.88,1200.9299284696579,0.07038235664367676,15,59.0,62
Tue Jan 12 12:43:15 2021,12,33321518,1610484195.7503486,34125.88,1201.0153590297698,0.07038736343383789,15,59.0,62
Tue Jan 12 12:43:16 2021,12,33327255,1610484196.3241103,34125.88,1200.8282254219055,0.07037639617919922,15,59.0,62
Tue Jan 12 12:43:17 2021,12,33335561,1610484197.1546922,34124.63999999999,1200.7805240821835,0.07037615776062012,15,59.0,61
Tue Jan 12 12:43:17 2021,12,33341297,1610484197.728319,34124.63999999999,1200.8212038230893,0.07037854194641113,15,59.0,61
Tue Jan 12 12:43:18 2021,12,33347036,1610484198.302152,34124.63999999999,1200.7642521858213,0.07037520408630371,15,59.0,61
Tue Jan 12 12:43:18 2021,12,33352773,1610484198.8758771,34124.63999999999,1200.8781554603574,0.07038187980651855,15,59.0,61
Tue Jan 12 12:43:19 2021,12,33361076,1610484199.7061346,34124.63999999999,1200.8903593826292,0.07038259506225586,15,59.0,61
Tue Jan 12 12:43:20 2021,12,33366812,1610484200.2798164,34124.63999999999,1200.9554469680784,0.07038640975952148,15,59.0,61
Tue Jan 12 12:43:20 2021,12,33372550,1610484200.8535213,34124.63999999999,1200.7886600303648,0.07037663459777832,15,59.0,61
Tue Jan 12 12:43:21 2021,12,33378286,1610484201.4271777,34124.63999999999,1200.9798548126219,0.0703878402709961,15,59.0,61
Tue Jan 12 12:43:22 2021,12,33386588,1610484202.2573843,34124.63999999999,1200.8130678749083,0.07037806510925293,15,59.0,61
Tue Jan 12 12:43:22 2021,12,33392324,1610484202.8310075,34124.63999999999,1200.7235724449156,0.0703728199005127,15,59.0,61
Tue Jan 12 12:43:23 2021,12,33398061,1610484203.404666,34124.63999999999,1200.7439123153683,0.0703740119934082,15,59.0,61
Tue Jan 12 12:43:23 2021,12,33403798,1610484203.978379,34124.63999999999,1200.6462809371947,0.07036828994750977,15,59.0,61
Tue Jan 12 12:43:24 2021,12,33412145,1610484204.8131151,34124.63999999999,1200.7927280044553,0.07037687301635742,15,59.0,61
Tue Jan 12 12:43:25 2021,12,33417881,1610484205.3867087,34124.63999999999,1201.0083306312558,0.0703895092010498,15,59.0,61
Tue Jan 12 12:43:25 2021,12,33423618,1610484205.9604187,34124.63999999999,1200.9229031753537,0.07038450241088867,15,59.0,61
Tue Jan 12 12:43:26 2021,12,33429357,1610484206.534246,34124.63999999999,1200.9717188644406,0.07038736343383789,15,59.0,61
Tue Jan 12 12:43:27 2021,12,33437658,1610484207.3643317,34124.63999999999,1200.8130678749083,0.07037806510925293,15,59.0,61
Tue Jan 12 12:43:27 2021,12,33443394,1610484207.9379826,34124.63999999999,1200.833407745361,0.07037925720214844,15,59.0,61
Tue Jan 12 12:43:28 2021,12,33449131,1610484208.5116959,34124.63999999999,1201.0083306312558,0.0703895092010498,15,59.0,61
Tue Jan 12 12:43:29 2021,12,33454869,1610484209.0854702,34124.63999999999,1200.8862914085385,0.07038235664367676,15,59.0,61
Tue Jan 12 12:43:29 2021,12,33463213,1610484209.919917,34124.63999999999,1200.8984953308102,0.07038307189941406,15,59.0,61
Tue Jan 12 12:43:30 2021,12,33468951,1610484210.4936347,34124.63999999999,1200.8659515380857,0.07038116455078125,15,59.0,61
Tue Jan 12 12:43:31 2021,12,33474688,1610484211.0673375,34124.63999999999,1200.9188352012632,0.07038426399230957,15,59.0,61
Tue Jan 12 12:43:31 2021,12,33480426,1610484211.6411815,34124.63999999999,1200.7113685226439,0.07037210464477539,15,59.0,61
Tue Jan 12 12:43:32 2021,12,33488727,1610484212.471262,34124.63999999999,1200.75611623764,0.07037472724914551,15,59.0,61
Tue Jan 12 12:43:33 2021,12,33494463,1610484213.0448503,34124.63999999999,1200.882223434448,0.07038211822509766,15,59.0,61
